date,iyr_close,eem_close,agg_close,emb_close,bsv_close,iau_close,ifeu_close,ijh_close,slv_close,ijr_close,ivv_close,ivv_close_shft
2018-01-04,79.21,48.71,109.11,116.65,79.0,12.71,41.25,192.47,16.23,77.53,273.6,275.33
2018-01-03,80.47,48.47,109.18,116.35,79.06,12.64,41.37,191.92,16.17,77.32,272.42,273.6
2018-01-02,80.6,48.01,109.17,116.4,79.05,12.67,41.19,191.57,16.21,77.39,270.85,272.42
2017-12-29,81.01,47.12,109.33,116.1,79.1,12.51,41.18,189.78,15.99,76.81,268.85,270.85
2017-12-28,80.99,46.9,109.22,115.95,79.07,12.44,40.91,190.73,15.88,77.35,269.79,268.85
2017-12-27,80.52,46.58,109.3,115.91,79.09,12.38,40.68,190.1,15.73,77.04,269.29,269.79
2017-12-26,80.23,46.46,108.96,115.8,79.0,12.32,40.3,190.15,15.59,77.13,269.12,269.29
2017-12-22,79.84,46.5,108.87,115.74,79.13,12.25,40.19,190.04,15.4,77.06,269.46,269.12
2017-12-21,79.34,46.11,108.82,115.36,79.11,12.18,40.35,190.07,15.22,77.26,269.53,269.46
2017-12-20,79.63,45.81,108.76,115.74,79.13,12.15,40.88,189.61,15.25,76.95,268.99,269.53
2017-12-19,80.47,45.75,109.01,115.92,79.17,12.12,41.09,189.25,15.22,76.78,269.13,268.99
2017-12-18,82.92,46.69,109.33,116.17,79.22,12.11,40.94,190.59,15.22,77.74,271.47,269.13
2017-12-15,82.46,46.17,109.47,116.05,79.24,12.06,40.27,188.64,15.15,76.63,269.79,271.47
2017-12-14,82.12,46.07,109.44,115.9,79.27,12.04,40.04,186.78,15.02,75.37,267.53,269.79
2017-12-13,82.17,46.41,109.41,115.84,79.32,12.06,39.99,188.38,15.15,76.24,268.57,267.53
2017-12-12,82.0,45.86,109.1,115.51,79.21,11.96,39.91,188.3,14.86,75.86,268.63,268.57
2017-12-11,81.67,46.17,109.15,115.47,79.22,11.94,40.2,188.77,14.85,76.04,268.22,268.63
2017-12-08,81.58,45.94,109.19,115.53,79.27,11.99,40.35,188.98,14.96,76.25,267.3,268.22
2017-12-07,81.31,45.41,109.23,115.51,79.26,11.99,40.02,188.3,14.87,76.3,265.85,267.3
2017-12-06,80.98,45.28,109.37,115.75,79.24,12.15,39.77,186.99,15.1,75.92,265.05,265.85
2017-12-05,81.01,45.9,109.26,115.65,79.22,12.17,39.87,187.74,15.23,76.25,264.99,265.05
2017-12-04,81.49,45.93,109.15,115.49,79.23,12.27,39.66,189.26,15.44,77.06,265.98,264.99
